protein_accession,protein_description,control_1,control_2,control_3,treatment_1,treatment_2,treatment_3
CSN1_HUMAN_Q13098,COP9 signalosome complex subunit 1 OS=Homo sapiens GN=GPS1 PE=1 SV=4,0.5386,NA,NA,NA,NA,NA
MICA2_HUMAN_O94851,[F-actin]-methionine sulfoxide oxidase MICAL2 OS=Homo sapiens GN=MICAL2 PE=1 SV=1,NA,NA,NA,NA,NA,NA
E9PM31_HUMAN_E9PM31,CD81 antigen (Fragment) OS=Homo sapiens GN=CD81 PE=1 SV=8,0.1601,NA,NA,0.1137,NA,0.0972
S12A1_HUMAN_Q13621,Solute carrier family 12 member 1 OS=Homo sapiens GN=SLC12A1 PE=1 SV=2,NA,NA,0.0919,NA,0.5429,NA
THADA_HUMAN_Q6YHU6,Thyroid adenoma-associated protein OS=Homo sapiens GN=THADA PE=1 SV=1,NA,NA,NA,NA,2.7741,NA
A0A0A0MRW6_HUMAN_A0A0A0MRW6,Nucleolar protein 6 OS=Homo sapiens GN=NOL6 PE=1 SV=1,NA,3.3911,NA,NA,NA,NA
ACDSB_HUMAN_P45954,Short/branched chain specific acyl-CoA dehydrogenase_ mitochondrial OS=Homo sapiens GN=ACADSB PE=1 SV=1,0.1753,NA,0.1425,NA,NA,NA
Q5T0D2_HUMAN_Q5T0D2,UMP-CMP kinase OS=Homo sapiens GN=CMPK1 PE=1 SV=1,NA,NA,NA,0.1168,NA,NA
RA54B_HUMAN_Q9Y620,DNA repair and recombination protein RAD54B OS=Homo sapiens GN=RAD54B PE=1 SV=1,NA,NA,NA,NA,NA,0.0516
PI4KA_HUMAN_P42356,Phosphatidylinositol 4-kinase alpha OS=Homo sapiens GN=PI4KA PE=1 SV=4,5.7151,0.6447,NA,NA,NA,NA
GAN_HUMAN_Q9H2C0,Gigaxonin OS=Homo sapiens GN=GAN PE=1 SV=1,NA,NA,NA,0.0368,NA,NA
DCP1A_HUMAN_Q9NPI6,mRNA-decapping enzyme 1A OS=Homo sapiens GN=DCP1A PE=1 SV=2,NA,NA,NA,NA,NA,NA
CRNL1_HUMAN_Q9BZJ0,Crooked neck-like protein 1 OS=Homo sapiens GN=CRNKL1 PE=1 SV=4,NA,NA,0.2198,NA,NA,0.2215
RM44_HUMAN_Q9H9J2,39S ribosomal protein L44_ mitochondrial OS=Homo sapiens GN=MRPL44 PE=1 SV=1,0.0783,NA,NA,NA,NA,NA
CCD40_HUMAN_Q4G0X9,Coiled-coil domain-containing protein 40 OS=Homo sapiens GN=CCDC40 PE=2 SV=2,0.8192,NA,NA,NA,NA,NA
F8VP97_HUMAN_F8VP97,CCR4-NOT transcription complex subunit 2 (Fragment) OS=Homo sapiens GN=CNOT2 PE=1 SV=1,NA,NA,0.0531,NA,NA,0.0652
IFIX_HUMAN_Q6K0P9,Pyrin and HIN domain-containing protein 1 OS=Homo sapiens GN=PYHIN1 PE=1 SV=1,NA,NA,0.1134,0.0887,NA,NA
DSCL1_HUMAN_Q8TD84,Down syndrome cell adhesion molecule-like protein 1 OS=Homo sapiens GN=DSCAML1 PE=1 SV=2,NA,NA,4.1227,NA,NA,2.823
MRF_HUMAN_Q9Y2G1,Myelin regulatory factor OS=Homo sapiens GN=MYRF PE=1 SV=3,NA,1.5337,NA,NA,NA,NA
UH1BL_HUMAN_A0JNW5,UHRF1-binding protein 1-like OS=Homo sapiens GN=UHRF1BP1L PE=1 SV=2,NA,0.5044,0.6183,NA,NA,NA
H0YJA4_HUMAN_H0YJA4,Chromodomain-helicase-DNA-binding protein 8 (Fragment) OS=Homo sapiens GN=CHD8 PE=1 SV=1,NA,0.0325,NA,NA,0.0713,0.0786
A0A087WUX8_HUMAN_A0A087WUX8,MICOS complex subunit OS=Homo sapiens GN=APOOL PE=1 SV=1,NA,NA,0.0623,NA,NA,0.0667
AKAP3_HUMAN_O75969,A-kinase anchor protein 3 OS=Homo sapiens GN=AKAP3 PE=1 SV=2,NA,NA,NA,NA,NA,NA
RSRC2_HUMAN_Q7L4I2,Arginine/serine-rich coiled-coil protein 2 OS=Homo sapiens GN=RSRC2 PE=1 SV=1,0.0876,NA,0.0726,NA,NA,NA
MET_HUMAN_P08581,Hepatocyte growth factor receptor OS=Homo sapiens GN=MET PE=1 SV=4,1.2564,NA,NA,NA,0.0235,0.0192
F2Z2Y8_HUMAN_F2Z2Y8,Toll-interacting protein OS=Homo sapiens GN=TOLLIP PE=1 SV=1,NA,0.0557,NA,0.0767,NA,NA
NFASC_HUMAN_O94856,Neurofascin OS=Homo sapiens GN=NFASC PE=1 SV=4,0.1604,NA,NA,NA,0.3252,NA
Q5QPR4_HUMAN_Q5QPR4,Cyclin-dependent kinase 11A OS=Homo sapiens GN=CDK11A PE=1 SV=1,NA,NA,NA,NA,NA,NA
A0A087X054_HUMAN_A0A087X054,Hypoxia up-regulated protein 1 OS=Homo sapiens GN=HYOU1 PE=1 SV=1,NA,NA,1.3274,NA,NA,NA
ODF2L_HUMAN_Q9ULJ1,Outer dense fiber protein 2-like OS=Homo sapiens GN=ODF2L PE=2 SV=2,NA,NA,0.0623,NA,NA,0.1108
CAN8_HUMAN_A6NHC0,Calpain-8 OS=Homo sapiens GN=CAPN8 PE=2 SV=3,NA,NA,NA,NA,NA,0.0181
TBB8_HUMAN_Q3ZCM7,Tubulin beta-8 chain OS=Homo sapiens GN=TUBB8 PE=1 SV=2,NA,NA,0.0053,NA,NA,NA
M0R1K3_HUMAN_M0R1K3,Platelet-activating factor acetylhydrolase IB subunit gamma (Fragment) OS=Homo sapiens GN=PAFAH1B3 PE=1 SV=1,NA,NA,NA,0.0758,0.1043,0.0887
PEF1_HUMAN_Q9UBV8,Peflin OS=Homo sapiens GN=PEF1 PE=1 SV=1,NA,NA,NA,NA,0.1487,NA
ERI3_HUMAN_O43414,ERI1 exoribonuclease 3 OS=Homo sapiens GN=ERI3 PE=1 SV=2,NA,NA,0.0485,NA,NA,NA
G3V5T0_HUMAN_G3V5T0,Maleylacetoacetate isomerase OS=Homo sapiens GN=GSTZ1 PE=1 SV=1,NA,NA,NA,0.0666,NA,NA
KCY_HUMAN_P30085,UMP-CMP kinase OS=Homo sapiens GN=CMPK1 PE=1 SV=3,NA,0.1205,NA,NA,NA,0.1169
TAF1A_HUMAN_Q15573,TATA box-binding protein-associated factor RNA polymerase I subunit A OS=Homo sapiens GN=TAF1A PE=1 SV=1,NA,NA,NA,0.0306,NA,NA
A0A087WZF1_HUMAN_A0A087WZF1,Lipoma-preferred partner OS=Homo sapiens GN=LPP PE=1 SV=1,NA,NA,0.1592,NA,0.163,NA
PK3C3_HUMAN_Q8NEB9,Phosphatidylinositol 3-kinase catalytic subunit type 3 OS=Homo sapiens GN=PIK3C3 PE=1 SV=1,NA,NA,NA,NA,NA,NA
E7EQT4_HUMAN_E7EQT4,Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens GN=ACIN1 PE=1 SV=2,NA,NA,NA,0.6297,NA,NA
TR112_HUMAN_Q9UI30,Multifunctional methyltransferase subunit TRM112-like protein OS=Homo sapiens GN=TRMT112 PE=1 SV=1,0.1231,NA,NA,NA,NA,NA
KIF3B_HUMAN_O15066,Kinesin-like protein KIF3B OS=Homo sapiens GN=KIF3B PE=1 SV=1,NA,NA,0.1133,NA,NA,NA
F262_HUMAN_O60825,6-phosphofructo-2-kinase/fructose-2_6-bisphosphatase 2 OS=Homo sapiens GN=PFKFB2 PE=1 SV=2,NA,0.2193,NA,NA,NA,NA
TOIP2_HUMAN_Q8NFQ8,Torsin-1A-interacting protein 2 OS=Homo sapiens GN=TOR1AIP2 PE=1 SV=1,NA,NA,NA,NA,0.1845,NA
PDIP2_HUMAN_Q9Y2S7,Polymerase delta-interacting protein 2 OS=Homo sapiens GN=POLDIP2 PE=1 SV=1,NA,0.6449,0.126,NA,NA,NA
H0Y6Y8_HUMAN_H0Y6Y8,39S ribosomal protein L43_ mitochondrial (Fragment) OS=Homo sapiens GN=MRPL43 PE=1 SV=1,0.113,NA,NA,NA,NA,NA
Q5TEC6_HUMAN_Q5TEC6,Histone H3 OS=Homo sapiens GN=HIST2H3PS2 PE=1 SV=1,NA,0.1021,NA,NA,NA,NA
PIWL4_HUMAN_Q7Z3Z4,Piwi-like protein 4 OS=Homo sapiens GN=PIWIL4 PE=2 SV=2,NA,NA,NA,NA,NA,NA
ARI1A_HUMAN_O14497,AT-rich interactive domain-containing protein 1A OS=Homo sapiens GN=ARID1A PE=1 SV=3,NA,NA,NA,NA,NA,NA
R4GNA2_HUMAN_R4GNA2,Ankyrin repeat domain-containing protein 30A OS=Homo sapiens GN=ANKRD30A PE=1 SV=1,NA,NA,NA,NA,0.4221,NA
F185A_HUMAN_Q8N0U4,Protein FAM185A OS=Homo sapiens GN=FAM185A PE=2 SV=3,0.2297,NA,NA,NA,0.0025,NA
F135A_HUMAN_Q9P2D6,Protein FAM135A OS=Homo sapiens GN=FAM135A PE=1 SV=2,NA,NA,NA,NA,0.0975,NA
ITSN2_HUMAN_Q9NZM3,Intersectin-2 OS=Homo sapiens GN=ITSN2 PE=1 SV=3,NA,NA,0.5871,0.0867,NA,0.1135
SPIN1_HUMAN_Q9Y657,Spindlin-1 OS=Homo sapiens GN=SPIN1 PE=1 SV=3,NA,NA,NA,0.0434,0.0415,NA
Q4VXL4_HUMAN_Q4VXL4,HCG41426_ isoform CRA_c OS=Homo sapiens GN=TACC2 PE=1 SV=1,NA,NA,NA,NA,NA,NA
A8MVZ9_HUMAN_A8MVZ9,Fructose-bisphosphate aldolase OS=Homo sapiens GN=ALDOC PE=1 SV=1,2.6588,NA,NA,0.4121,NA,NA
WDR19_HUMAN_Q8NEZ3,WD repeat-containing protein 19 OS=Homo sapiens GN=WDR19 PE=1 SV=2,NA,NA,NA,NA,0.0233,NA
RL15_HUMAN_P61313,60S ribosomal protein L15 OS=Homo sapiens GN=RPL15 PE=1 SV=2,0.859,0.7335,0.7365,NA,NA,NA
H7C4C8_HUMAN_H7C4C8,T-complex protein 1 subunit theta (Fragment) OS=Homo sapiens GN=CCT8 PE=1 SV=1,NA,NA,NA,NA,NA,NA
H3BSA1_HUMAN_H3BSA1,Casein kinase II subunit alpha' (Fragment) OS=Homo sapiens GN=CSNK2A2 PE=1 SV=2,NA,0.0917,NA,NA,0.093,NA
ANGE1_HUMAN_Q9UNK9,Protein angel homolog 1 OS=Homo sapiens GN=ANGEL1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
NEK7_HUMAN_Q8TDX7,Serine/threonine-protein kinase Nek7 OS=Homo sapiens GN=NEK7 PE=1 SV=1,NA,NA,NA,NA,NA,0.0686
M3K5_HUMAN_Q99683,Mitogen-activated protein kinase kinase kinase 5 OS=Homo sapiens GN=MAP3K5 PE=1 SV=1,NA,NA,NA,NA,NA,NA
RAC1_HUMAN_P63000,Ras-related C3 botulinum toxin substrate 1 OS=Homo sapiens GN=RAC1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
B1AK88_HUMAN_B1AK88,Capping protein (Actin filament) muscle Z-line_ beta_ isoform CRA_d OS=Homo sapiens GN=CAPZB PE=1 SV=1,NA,NA,NA,NA,NA,NA
INSL4_HUMAN_Q14641,Early placenta insulin-like peptide OS=Homo sapiens GN=INSL4 PE=1 SV=1,NA,NA,NA,NA,0.0968,NA
PTC1_HUMAN_Q13635,Protein patched homolog 1 OS=Homo sapiens GN=PTCH1 PE=1 SV=2,0.1385,NA,0.0795,NA,NA,NA
A8MV53_HUMAN_A8MV53,HCG2033702_ isoform CRA_a OS=Homo sapiens GN=PPAN PE=4 SV=1,NA,NA,NA,NA,NA,0.1283
PHP14_HUMAN_Q9NRX4,14 kDa phosphohistidine phosphatase OS=Homo sapiens GN=PHPT1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
SRSF8_HUMAN_Q9BRL6,Serine/arginine-rich splicing factor 8 OS=Homo sapiens GN=SRSF8 PE=1 SV=1,0.879,NA,1.6662,NA,NA,NA
MYH4_HUMAN_Q9Y623,Myosin-4 OS=Homo sapiens GN=MYH4 PE=2 SV=2,NA,0.1055,NA,NA,NA,NA
Z518A_HUMAN_Q6AHZ1,Zinc finger protein 518A OS=Homo sapiens GN=ZNF518A PE=1 SV=2,NA,0.7935,NA,1.0181,NA,NA
ARAP1_HUMAN_Q96P48,Arf-GAP with Rho-GAP domain_ ANK repeat and PH domain-containing protein 1 OS=Homo sapiens GN=ARAP1 PE=1 SV=3,NA,0.0871,NA,NA,NA,NA
A0A087WY36_HUMAN_A0A087WY36,A-kinase anchor protein 13 (Fragment) OS=Homo sapiens GN=AKAP13 PE=1 SV=1,NA,NA,NA,NA,0.0658,NA
BOD1_HUMAN_Q96IK1,Biorientation of chromosomes in cell division protein 1 OS=Homo sapiens GN=BOD1 PE=1 SV=2,NA,NA,NA,0.0309,NA,0.043
SYNRG_HUMAN_Q9UMZ2,Synergin gamma OS=Homo sapiens GN=SYNRG PE=1 SV=2,NA,0.2976,NA,NA,NA,NA
GSHR_HUMAN_P00390,Glutathione reductase_ mitochondrial OS=Homo sapiens GN=GSR PE=1 SV=2,2.5146,0.1433,NA,NA,NA,NA
PCDG3_HUMAN_Q9Y5H0,Protocadherin gamma-A3 OS=Homo sapiens GN=PCDHGA3 PE=2 SV=2,0.2013,0.0099,NA,NA,0.132,NA
ST5_HUMAN_P78524,Suppression of tumorigenicity 5 protein OS=Homo sapiens GN=ST5 PE=1 SV=3,0.4311,NA,NA,NA,0.0594,NA
STAG1_HUMAN_Q8WVM7,Cohesin subunit SA-1 OS=Homo sapiens GN=STAG1 PE=1 SV=3,NA,NA,NA,0.4279,NA,NA
SHC3_HUMAN_Q92529,SHC-transforming protein 3 OS=Homo sapiens GN=SHC3 PE=1 SV=1,NA,0.1877,NA,NA,NA,NA
BDH_HUMAN_Q02338,D-beta-hydroxybutyrate dehydrogenase_ mitochondrial OS=Homo sapiens GN=BDH1 PE=1 SV=3,NA,NA,NA,0.0293,NA,NA
E7ET84_HUMAN_E7ET84,E3 ubiquitin-protein ligase UBR5 OS=Homo sapiens GN=UBR5 PE=1 SV=1,NA,NA,NA,NA,NA,0.0876
B4DSN5_HUMAN_B4DSN5,Tyrosine-protein phosphatase non-receptor type OS=Homo sapiens GN=PTPN1 PE=1 SV=1,NA,0.4647,NA,NA,0.265,0.2784
K7EIV0_HUMAN_K7EIV0,Calpain small subunit 1 (Fragment) OS=Homo sapiens GN=CAPNS1 PE=1 SV=2,0.4693,NA,0.3363,NA,NA,NA
E7ER68_HUMAN_E7ER68,Protein FAM91A1 OS=Homo sapiens GN=FAM91A1 PE=1 SV=1,NA,0.0366,0.0929,NA,NA,NA
H7C2J4_HUMAN_H7C2J4,MutS protein homolog 5 OS=Homo sapiens GN=MSH5 PE=4 SV=1,NA,NA,NA,NA,NA,NA
C2CD5_HUMAN_Q86YS7,C2 domain-containing protein 5 OS=Homo sapiens GN=C2CD5 PE=1 SV=1,NA,NA,0.1119,NA,NA,0.2159
ANXA4_HUMAN_P09525,Annexin A4 OS=Homo sapiens GN=ANXA4 PE=1 SV=4,NA,NA,NA,NA,0.4063,NA
PP2BB_HUMAN_P16298,Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform OS=Homo sapiens GN=PPP3CB PE=1 SV=2,0.2671,NA,NA,0.1561,0.1537,NA
G3XAJ6_HUMAN_G3XAJ6,Raft-linking protein_ isoform CRA_c OS=Homo sapiens GN=RFTN1 PE=1 SV=1,0.0933,NA,0.1256,NA,NA,0.2012
THTPA_HUMAN_Q9BU02,Thiamine-triphosphatase OS=Homo sapiens GN=THTPA PE=1 SV=3,NA,NA,NA,NA,0.2305,NA
E7EVE9_HUMAN_E7EVE9,TFIIH basal transcription factor complex helicase XPD subunit OS=Homo sapiens GN=ERCC2 PE=1 SV=1,NA,0.0742,NA,NA,0.1332,0.1765
A0A087WU64_HUMAN_A0A087WU64,DNA polymerase OS=Homo sapiens GN=POLA1 PE=1 SV=1,NA,NA,NA,0.6899,0.2695,NA
FRMD1_HUMAN_Q8N878,FERM domain-containing protein 1 OS=Homo sapiens GN=FRMD1 PE=2 SV=2,NA,NA,NA,1.0681,NA,NA
E5RHA8_HUMAN_E5RHA8,Pre-mRNA-splicing factor RBM22 (Fragment) OS=Homo sapiens GN=RBM22 PE=1 SV=1,NA,NA,NA,0.0165,0.015,NA
Q5QPM7_HUMAN_Q5QPM7,Proteasome inhibitor PI31 subunit OS=Homo sapiens GN=PSMF1 PE=1 SV=2,NA,NA,NA,NA,NA,NA
SEPT6_HUMAN_Q14141,Septin-6 OS=Homo sapiens GN=SEPT6 PE=1 SV=4,NA,NA,NA,NA,NA,NA
TAXB1_HUMAN_Q86VP1,Tax1-binding protein 1 OS=Homo sapiens GN=TAX1BP1 PE=1 SV=2,0.0088,NA,NA,NA,0.0164,0.1655
DMAP1_HUMAN_Q9NPF5,DNA methyltransferase 1-associated protein 1 OS=Homo sapiens GN=DMAP1 PE=1 SV=1,0.0622,NA,NA,0.0312,NA,0.0421
AIFM2_HUMAN_Q9BRQ8,Apoptosis-inducing factor 2 OS=Homo sapiens GN=AIFM2 PE=1 SV=1,NA,0.1136,NA,0.9114,NA,NA
ARI2_HUMAN_O95376,E3 ubiquitin-protein ligase ARIH2 OS=Homo sapiens GN=ARIH2 PE=1 SV=1,NA,NA,NA,0.0543,NA,NA
CEMIP_HUMAN_Q8WUJ3,Cell migration-inducing and hyaluronan-binding protein OS=Homo sapiens GN=CEMIP PE=1 SV=2,NA,NA,4.7406,0.0131,NA,NA
LRC40_HUMAN_Q9H9A6,Leucine-rich repeat-containing protein 40 OS=Homo sapiens GN=LRRC40 PE=1 SV=1,NA,NA,NA,NA,NA,NA
CO6A6_HUMAN_A6NMZ7,Collagen alpha-6(VI) chain OS=Homo sapiens GN=COL6A6 PE=1 SV=2,NA,NA,NA,NA,0.4799,NA
KAP1_HUMAN_P31321,cAMP-dependent protein kinase type I-beta regulatory subunit OS=Homo sapiens GN=PRKAR1B PE=1 SV=4,0.0329,NA,NA,0.1219,NA,NA
PAK1_HUMAN_Q13153,Serine/threonine-protein kinase PAK 1 OS=Homo sapiens GN=PAK1 PE=1 SV=2,0.2649,NA,NA,NA,NA,NA
ARI1B_HUMAN_Q8NFD5,AT-rich interactive domain-containing protein 1B OS=Homo sapiens GN=ARID1B PE=1 SV=2,NA,NA,NA,0.1252,NA,0.112
YJ005_HUMAN_Q6ZSR9,Uncharacterized protein FLJ45252 OS=Homo sapiens PE=2 SV=2,NA,NA,0.2114,NA,NA,NA
A0A0A0MRM8_HUMAN_A0A0A0MRM8,Unconventional myosin-VI OS=Homo sapiens GN=MYO6 PE=1 SV=1,NA,NA,NA,NA,NA,NA
E7EUI7_HUMAN_E7EUI7,Protein phosphatase inhibitor 2 OS=Homo sapiens GN=PPP1R2 PE=1 SV=1,NA,NA,0.0451,NA,NA,NA
PGAM4_HUMAN_Q8N0Y7,Probable phosphoglycerate mutase 4 OS=Homo sapiens GN=PGAM4 PE=3 SV=1,NA,NA,NA,0.0403,NA,NA
PSA6_HUMAN_P60900,Proteasome subunit alpha type-6 OS=Homo sapiens GN=PSMA6 PE=1 SV=1,NA,NA,0.7381,0.6703,NA,0.6818
G5EA31_HUMAN_G5EA31,Protein transport protein Sec24C OS=Homo sapiens GN=SEC24C PE=1 SV=1,NA,NA,NA,NA,0.619,0.4516
LRRF2_HUMAN_Q9Y608,Leucine-rich repeat flightless-interacting protein 2 OS=Homo sapiens GN=LRRFIP2 PE=1 SV=1,NA,NA,NA,0.236,NA,NA
KLH13_HUMAN_Q9P2N7,Kelch-like protein 13 OS=Homo sapiens GN=KLHL13 PE=1 SV=3,NA,NA,2.4431,1.965,1.7922,NA
F2Z2E2_HUMAN_F2Z2E2,Ras GTPase-activating-like protein IQGAP3 OS=Homo sapiens GN=IQGAP3 PE=1 SV=1,NA,2.1409,NA,NA,NA,NA
RTF2_HUMAN_Q9BY42,Protein RTF2 homolog OS=Homo sapiens GN=RTFDC1 PE=1 SV=3,NA,NA,NA,0.044,NA,0.1079
F8W7Q4_HUMAN_F8W7Q4,Protein FAM162A OS=Homo sapiens GN=FAM162A PE=1 SV=1,NA,NA,NA,0.1631,NA,NA
G3V3R6_HUMAN_G3V3R6,Galectin OS=Homo sapiens GN=LGALS3 PE=1 SV=1,NA,NA,NA,NA,NA,NA
CFA65_HUMAN_Q6ZU64,Cilia- and flagella-associated protein 65 OS=Homo sapiens GN=CFAP65 PE=1 SV=2,NA,0.0922,0.192,NA,NA,NA
SHIP1_HUMAN_Q92835,Phosphatidylinositol 3_4_5-trisphosphate 5-phosphatase 1 OS=Homo sapiens GN=INPP5D PE=1 SV=2,NA,NA,NA,0.3246,NA,0.2037
X6RFL8_HUMAN_X6RFL8,Ras-related protein Rab-14 (Fragment) OS=Homo sapiens GN=RAB14 PE=1 SV=1,0.2445,NA,NA,NA,0.2746,NA
HEXI1_HUMAN_O94992,Protein HEXIM1 OS=Homo sapiens GN=HEXIM1 PE=1 SV=1,NA,0.1232,NA,NA,NA,NA
NAV1_HUMAN_Q8NEY1,Neuron navigator 1 OS=Homo sapiens GN=NAV1 PE=1 SV=2,NA,NA,NA,0.4502,NA,0.3798
BUD31_HUMAN_P41223,Protein BUD31 homolog OS=Homo sapiens GN=BUD31 PE=1 SV=2,NA,NA,NA,NA,0.0441,NA
S6OS1_HUMAN_Q8N1H7,Protein SIX6OS1 OS=Homo sapiens GN=SIX6OS1 PE=2 SV=2,NA,NA,NA,0.6367,0.7418,NA
SC24D_HUMAN_O94855,Protein transport protein Sec24D OS=Homo sapiens GN=SEC24D PE=1 SV=2,NA,0.1807,NA,0.0853,NA,NA
A0A087WTU3_HUMAN_A0A087WTU3,Testis-expressed protein 264 OS=Homo sapiens GN=TEX264 PE=1 SV=1,NA,NA,0.1226,NA,NA,NA
H0YJ92_HUMAN_H0YJ92,CDK-activating kinase assembly factor MAT1 (Fragment) OS=Homo sapiens GN=MNAT1 PE=1 SV=1,NA,NA,NA,0.0443,NA,NA
HEM6_HUMAN_P36551,Oxygen-dependent coproporphyrinogen-III oxidase_ mitochondrial OS=Homo sapiens GN=CPOX PE=1 SV=3,NA,NA,NA,NA,NA,NA
NOSIP_HUMAN_Q9Y314,Nitric oxide synthase-interacting protein OS=Homo sapiens GN=NOSIP PE=1 SV=1,NA,NA,NA,0.0918,NA,0.0887
G8JLG1_HUMAN_G8JLG1,Structural maintenance of chromosomes protein OS=Homo sapiens GN=SMC1A PE=1 SV=2,NA,NA,NA,NA,NA,NA
OSBL8_HUMAN_Q9BZF1,Oxysterol-binding protein-related protein 8 OS=Homo sapiens GN=OSBPL8 PE=1 SV=3,2.4857,NA,0.807,NA,NA,NA
H0YEH2_HUMAN_H0YEH2,Pumilio homolog 1 (Fragment) OS=Homo sapiens GN=PUM1 PE=1 SV=1,NA,0.5087,NA,NA,NA,NA
TF2B_HUMAN_Q00403,Transcription initiation factor IIB OS=Homo sapiens GN=GTF2B PE=1 SV=1,0.1278,NA,0.118,NA,NA,NA
E7EPA1_HUMAN_E7EPA1,Phosphoribosyl pyrophosphate synthase-associated protein 2 (Fragment) OS=Homo sapiens GN=PRPSAP2 PE=1 SV=1,NA,NA,NA,NA,NA,NA
E9PHH8_HUMAN_E9PHH8,E3 SUMO-protein ligase PIAS3 OS=Homo sapiens GN=PIAS3 PE=1 SV=1,NA,NA,NA,NA,NA,1.2075
H7BY36_HUMAN_H7BY36,RNA-binding protein EWS (Fragment) OS=Homo sapiens GN=EWSR1 PE=1 SV=1,0.9321,NA,NA,NA,NA,NA
TPC11_HUMAN_Q7Z392,Trafficking protein particle complex subunit 11 OS=Homo sapiens GN=TRAPPC11 PE=1 SV=2,NA,NA,NA,0.0666,NA,0.0458
MYADM_HUMAN_Q96S97,Myeloid-associated differentiation marker OS=Homo sapiens GN=MYADM PE=1 SV=2,0.2919,NA,NA,NA,0.303,NA
UBP4_HUMAN_Q13107,Ubiquitin carboxyl-terminal hydrolase 4 OS=Homo sapiens GN=USP4 PE=1 SV=3,NA,NA,NA,NA,NA,NA
PLIN2_HUMAN_Q99541,Perilipin-2 OS=Homo sapiens GN=PLIN2 PE=1 SV=2,NA,NA,NA,NA,NA,NA
KRT38_HUMAN_O76015,Keratin_ type I cuticular Ha8 OS=Homo sapiens GN=KRT38 PE=1 SV=3,0.0043,NA,NA,NA,0.0937,NA
DIEXF_HUMAN_Q68CQ4,Digestive organ expansion factor homolog OS=Homo sapiens GN=DIEXF PE=1 SV=2,NA,NA,0.096,NA,NA,NA
PLOD2_HUMAN_O00469,Procollagen-lysine_2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens GN=PLOD2 PE=1 SV=2,NA,NA,2.2127,NA,NA,NA
VATE2_HUMAN_Q96A05,V-type proton ATPase subunit E 2 OS=Homo sapiens GN=ATP6V1E2 PE=1 SV=1,NA,0.1895,NA,NA,NA,NA
H0Y360_HUMAN_H0Y360,AMP deaminase 2 (Fragment) OS=Homo sapiens GN=AMPD2 PE=1 SV=1,NA,NA,NA,0.2537,NA,NA
AN18B_HUMAN_A2A2Z9,Ankyrin repeat domain-containing protein 18B OS=Homo sapiens GN=ANKRD18B PE=1 SV=1,NA,0.2449,NA,NA,NA,NA
RAP1B_HUMAN_P61224,Ras-related protein Rap-1b OS=Homo sapiens GN=RAP1B PE=1 SV=1,NA,0.2451,NA,NA,NA,NA
CAD18_HUMAN_Q13634,Cadherin-18 OS=Homo sapiens GN=CDH18 PE=2 SV=1,0.0447,NA,NA,NA,NA,0.0079
SSRA_HUMAN_P43307,Translocon-associated protein subunit alpha OS=Homo sapiens GN=SSR1 PE=1 SV=3,NA,NA,NA,0.1985,NA,NA
A0A0J9YX05_HUMAN_A0A0J9YX05,Dystonin (Fragment) OS=Homo sapiens GN=DST PE=1 SV=1,NA,NA,0.0146,NA,NA,NA
A0A1B0GVZ4_HUMAN_A0A1B0GVZ4,Uroporphyrinogen decarboxylase OS=Homo sapiens GN=UROD PE=1 SV=1,NA,0.0502,NA,NA,NA,NA
UBXN4_HUMAN_Q92575,UBX domain-containing protein 4 OS=Homo sapiens GN=UBXN4 PE=1 SV=2,NA,0.11,0.2906,NA,NA,NA
UBXN6_HUMAN_Q9BZV1,UBX domain-containing protein 6 OS=Homo sapiens GN=UBXN6 PE=1 SV=1,NA,0.0312,NA,NA,0.0463,0.0687
RM38_HUMAN_Q96DV4,39S ribosomal protein L38_ mitochondrial OS=Homo sapiens GN=MRPL38 PE=1 SV=2,0.4644,NA,NA,NA,NA,NA
V9GYX7_HUMAN_V9GYX7,Actin-related protein 10 (Fragment) OS=Homo sapiens GN=ACTR10 PE=1 SV=1,0.133,NA,NA,NA,NA,NA
1A23_HUMAN_P30447,HLA class I histocompatibility antigen_ A-23 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=1,0.014,NA,NA,NA,NA,NA
AMPD1_HUMAN_P23109,AMP deaminase 1 OS=Homo sapiens GN=AMPD1 PE=1 SV=2,NA,NA,0.0222,NA,NA,NA
E9PPY3_HUMAN_E9PPY3,Ribosomal RNA-processing protein 8 OS=Homo sapiens GN=RRP8 PE=1 SV=1,NA,NA,NA,NA,0.03,NA
VW5B1_HUMAN_Q5TIE3,von Willebrand factor A domain-containing protein 5B1 OS=Homo sapiens GN=VWA5B1 PE=1 SV=2,NA,NA,1.2709,0.6299,1.1641,NA
A0A087WTT1_HUMAN_A0A087WTT1,Polyadenylate-binding protein OS=Homo sapiens GN=PABPC1 PE=1 SV=1,NA,1.6433,NA,1.6011,NA,NA
J3KQ34_HUMAN_J3KQ34,COP9 signalosome complex subunit 7b OS=Homo sapiens GN=COPS7B PE=1 SV=1,NA,NA,NA,NA,NA,0.0615
